City,AQI,PM2.5/1h,CO/1h,NO/1h,O3/1h,O3/8h,SO2/1h
阿坝州,39,16,20,0.67,6,40,76,7
阿克苏地区,49,14,17,0.6,18,84,97,4
阿拉善盟,95,39,62,0.63,9,127,152,7
阿勒泰地区,39,7,29,0.2,24,58,76,6
阿里地区,70,8,18,0.6,11,112,122,6
安康,68,36,84,0.57,31,40,73,8
安庆,61,30,63,0.6,31,85,112,7
鞍山,101,41,92,1.16,19,155,160,19
安顺,55,38,57,0.5,5,67,64,6
安阳,89,37,95,0.78,28,115,145,15
白城,92,54,131,1.2,83,11,66,14
百色,62,41,72,0.8,10,67,68,9
白山,66,31,79,0.85,28,31,64,12
白银,61,29,70,0.65,46,37,92,7
保定,75,32,79,0.4,45,84,128,18
宝鸡,79,51,106,0.85,53,14,45,6
保山,76,55,59,0.8,19,54,85,5
包头,66,39,79,0.7,35,74,102,14
巴彦淖尔,66,27,53,0.7,20,85,118,6
巴中,52,33,51,0.55,20,43,64,4
北海,53,36,47,1.02,16,78,74,8
北京,89,50,88,0.52,25,111,145,6
蚌埠,61,22,70,0.45,20,110,111,12
本溪,71,23,49,1.18,26,102,124,19
毕节,40,27,39,0.5,10,53,58,5
滨州,104,77,105,1.2,47,93,158,19
博州,40,8,26,0.45,4,78,78,4
亳州,86,29,59,0.6,17,120,141,7
沧州,86,46,88,0.6,19,143,142,23
长春,82,34,112,0.82,48,57,58,7
常德,82,57,112,0.98,45,63,119,7
昌都,59,7,16,0.5,12,96,109,6
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,45,11,26,0.5,12,65,88,6
长沙,81,56,110,0.84,56,65,108,10
常熟,65,39,77,0.65,48,47,87,19
长治,114,33,80,0.7,20,160,174,10
常州,55,32,57,0.69,48,73,83,10
朝阳,82,37,59,1.18,19,123,137,17
潮州,80,16,68,0.6,10,119,134,9
承德,71,31,79,0.62,42,90,123,9
成都,56,38,60,0.69,25,45,62,4
郴州,59,27,65,0.98,34,17,55,14
赤峰,66,24,58,0.4,24,112,118,14
池州,67,35,82,0.73,69,35,107,5
重庆,53,31,54,0.7,39,33,53,6
